Fecha de la actividad,Tipo de actividad,Distancia,Distancia.1,Tiempo en movimiento,Tiempo transcurrido,Tiempo transcurrido.1,Desnivel positivo,Ritmo cardiaco promedio,Velocidad promedio
"29 ene 2021, 12:35:48",Carrera,"6,20",6203.0,3367.0,3516,3516.0,28.7,,1.842
"28 ene 2021, 21:42:39",Bicicleta,"14,88",14888.0,5290.0,12793,12793.0,189.0,,2.814
"27 ene 2021, 20:41:44",Bicicleta,"10,74",10744.7,3855.0,19203,19203.0,132.4,,2.787
"27 ene 2021, 12:17:02",Carrera,"6,24",6242.1,3011.0,3023,3023.0,34.2,,2.073
"26 ene 2021, 14:34:47",Bicicleta,"4,93",4930.9,1505.0,4517,4517.0,52.4,,3.276
"25 ene 2021, 23:14:26",Bicicleta,"5,69",5697.0,1850.0,7990,7990.0,65.4,,3.079
"23 ene 2021, 19:37:11",Bicicleta,"24,29",24295.2,9080.0,20577,20577.0,263.6,,2.676
"21 ene 2021, 21:23:25",Bicicleta,"7,41",7418.0,3043.0,8250,8250.0,98.9,,2.438
"20 ene 2021, 21:39:35",Bicicleta,"9,84",9846.9,3711.0,18571,18571.0,117.9,,2.653
"19 ene 2021, 21:08:28",Bicicleta,"20,32",20328.4,6971.0,16389,16389.0,183.5,,2.916
"19 ene 2021, 1:18:03",Bicicleta,"3,28",3279.9,880.0,1519,1519.0,65.4,,3.727
"12 ene 2021, 22:04:24",Bicicleta,"20,13",20131.3,7152.0,15542,15542.0,288.6,,2.815
"9 ene 2021, 20:22:30",Bicicleta,"16,05",16056.6,5718.0,11641,11641.0,278.3,,2.808
"9 ene 2021, 13:22:44",Bicicleta,"43,91",43918.9,8728.0,13003,13003.0,713.3,,5.032
"8 ene 2021, 23:44:58",Bicicleta,"2,41",2417.1,989.0,6292,6292.0,15.5,,2.444
"8 ene 2021, 21:59:43",Carrera,"2,60",2607.3,3216.0,3717,3717.0,0.0,,0.811
"7 ene 2021, 23:36:29",Bicicleta,"2,84",2839.6,1252.0,5702,5702.0,20.9,,2.268
